timestamp,ch1,ch2,label
1777450959.995577,1749,0,S_6
1777450959.996211,2133,0,S_6
1777450960.004535,2286,0,S_6
1777450960.0079958,2172,0,S_6
1777450960.008109,1934,0,S_6
1777450960.0082638,1697,0,S_6
1777450960.0116422,1887,0,S_6
1777450960.014244,2215,0,S_6
1777450960.017339,2260,0,S_6
1777450960.020372,2063,0,S_6
1777450960.026432,1802,0,S_6
1777450960.0271502,1728,0,S_6
1777450960.0296981,2080,0,S_6
1777450960.034448,2280,0,S_6
1777450960.036407,2215,0,S_6
1777450960.038242,1954,0,S_6
1777450960.0412118,1725,0,S_6
1777450960.044204,1833,0,S_6
1777450960.0488472,2196,0,S_6
1777450960.051509,2263,0,S_6
1777450960.053343,2121,0,S_6
1777450960.056318,1849,0,S_6
1777450960.059893,1725,0,S_6
1777450960.062586,2054,0,S_6
1777450960.065203,2286,0,S_6
1777450960.071869,2247,0,S_6
1777450960.072255,1998,0,S_6
1777450960.0756412,1742,0,S_6
1777450960.078489,1827,0,S_6
1777450960.081101,2223,0,S_6
1777450960.0836532,2255,0,S_6
1777450960.086271,2114,0,S_6
1777450960.089203,1894,0,S_6
1777450960.093674,1713,0,S_6
1777450960.095317,1985,0,S_6
1777450960.0984051,2263,0,S_6
1777450960.1023371,2229,0,S_6
1777450960.104213,2017,0,S_6
1777450960.1072168,1792,0,S_6
1777450960.110199,1752,0,S_6
1777450960.114947,2185,0,S_6
1777450960.116813,2316,0,S_6
1777450960.119651,2128,0,S_6
1777450960.124036,1897,0,S_6
1777450960.125342,1703,0,S_6
1777450960.128208,1928,0,S_6
1777450960.131205,2254,0,S_6
1777450960.136492,2241,0,S_6
1777450960.1385448,2059,0,S_6
1777450960.140247,1800,0,S_6
1777450960.143915,1800,0,S_6
1777450960.146666,2099,0,S_6
1777450960.149195,2281,0,S_6
1777450960.152319,2204,0,S_6
1777450960.157662,1940,0,S_6
1777450960.158411,1692,0,S_6
1777450960.161612,1880,0,S_6
1777450960.165243,2223,0,S_6
1777450960.167211,2278,0,S_6
1777450960.170219,2106,0,S_6
1777450960.173196,1798,0,S_6
1777450960.176223,1735,0,S_6
1777450960.1802292,2077,0,S_6
1777450960.1841831,2286,0,S_6
1777450960.187295,2207,0,S_6
1777450960.190128,1942,0,S_6
1777450960.191436,1728,0,S_6
1777450960.194242,1876,0,S_6
1777450960.1972349,2244,0,S_6
1777450960.2021492,2279,0,S_6
1777450960.204216,2121,0,S_6
1777450960.206315,1849,0,S_6
1777450960.20985,1711,0,S_6
1777450960.212594,2040,0,S_6
1777450960.215311,2293,0,S_6
1777450960.218237,2227,0,S_6
1777450960.223541,2025,0,S_6
1777450960.22573,1720,0,S_6
1777450960.2275221,1830,0,S_6
1777450960.2311811,2201,0,S_6
1777450960.233207,2284,0,S_6
1777450960.2362392,2108,0,S_6
1777450960.239218,1904,0,S_6
1777450960.245974,1672,0,S_6
1777450960.2464051,1960,0,S_6
1777450960.249581,2260,0,S_6
1777450960.251344,2234,0,S_6
1777450960.255083,2031,0,S_6
1777450960.257631,1756,0,S_6
1777450960.260214,1802,0,S_6
1777450960.2664871,2148,0,S_6
1777450960.267435,2307,0,S_6
1777450960.2703,2153,0,S_6
1777450960.2730591,1940,0,S_6
1777450960.275719,1723,0,S_6
1777450960.2782788,1940,0,S_6
1777450960.281225,2233,0,S_6
1777450960.2872488,2282,0,S_6
1777450960.2878668,2120,0,S_6
1777450960.291181,1803,0,S_6
1777450960.2940001,1728,0,S_6
1777450960.296664,2102,0,S_6
1777450960.299218,2300,0,S_6
1777450960.302235,2210,0,S_6
1777450960.308598,1960,0,S_6
1777450960.309243,1723,0,S_6
1777450960.311782,1865,0,S_6
1777450960.314558,2219,0,S_6
1777450960.317259,2280,0,S_6
1777450960.320243,2075,0,S_6
1777450960.323221,1825,0,S_6
1777450960.3291268,1739,0,S_6
1777450960.329786,2077,0,S_6
1777450960.332858,2269,0,S_6
1777450960.335844,2242,0,S_6
1777450960.3384871,1961,0,S_6
1777450960.341227,1733,0,S_6
1777450960.344234,1820,0,S_6
1777450960.349973,2191,0,S_6
1777450960.350684,2264,0,S_6
1777450960.3538072,2141,0,S_6
1777450960.35643,1895,0,S_6
1777450960.359241,1712,0,S_6
1777450960.3622348,1995,0,S_6
1777450960.3652139,2293,0,S_6
1777450960.371296,2221,0,S_6
1777450960.371358,2043,0,S_6
1777450960.3745742,1760,0,S_6
1777450960.37729,1766,0,S_6
1777450960.381011,2107,0,S_6
1777450960.383559,2264,0,S_6
1777450960.38624,2141,0,S_6
1777450960.393402,1867,0,S_6
1777450960.393568,1679,0,S_6
1777450960.3955579,1896,0,S_6
1777450960.398963,2358,0,S_6
1777450960.401657,2301,0,S_6
1777450960.4043489,2013,0,S_6
1777450960.40722,1795,0,S_6
1777450960.4125938,1684,0,S_6
1777450960.4142551,2131,0,S_6
1777450960.416439,2262,0,S_6
1777450960.419884,2087,0,S_6
